country,year,suicides_no,population,gdp_per_capita,suicides_100k_pop
Albania,2000,54,2796300,1299,1.93
Antigua and Barbuda,2000,2,75326,11021,2.66
Argentina,2000,2774,33585533,8456,8.26
Armenia,2000,61,3606500,530,1.69
Aruba,2000,10,83888,22333,11.92
Australia,2000,2391,17874410,23218,13.38
Austria,2000,1588,7592073,25948,20.92
Azerbaijan,2000,62,7415250,711,0.84
Bahamas,2000,11,269738,29942,4.08
Bahrain,2000,29,590594,15345,4.91
Barbados,2000,10,251133,12430,3.98
Belarus,2000,3483,9543479,1335,36.5
Belgium,2000,2143,9674025,24602,22.15
Belize,2000,18,210109,3960,8.57
Brazil,2000,6763,157715991,4153,4.29
Bulgaria,2000,1383,7829095,1680,17.66
Canada,2000,3606,29008565,25579,12.43
Chile,2000,1473,13943575,5584,10.56
Colombia,2000,2358,36252342,2755,6.5
Costa Rica,2000,239,3531421,4233,6.77
Croatia,2000,926,4118000,5288,22.49
Cuba,2000,1845,10397209,2940,17.75
Cyprus,2000,7,875229,11635,0.8
Czech Republic,2000,1649,9819742,6278,16.79
Denmark,2000,728,4998610,32809,14.56
Ecuador,2000,534,11109383,1650,4.81
El Salvador,2000,461,5118189,2303,9.01
Estonia,2000,377,1334175,4262,28.26
Finland,2000,1165,4881820,25810,23.86
France,2000,10849,55267624,24608,19.63
Georgia,2000,130,4165600,734,3.12
Germany,2000,11073,78242066,24923,14.15
Greece,2000,382,10403059,12496,3.67
Guatemala,2000,182,9755585,1977,1.87
Hungary,2000,3269,9527034,4966,34.31
Iceland,2000,50,259723,34372,19.25
Ireland,2000,463,3523376,28340,13.14
Israel,2000,394,5643291,23391,6.98
Italy,2000,4108,54298946,20995,7.57
Jamaica,2000,3,2367841,3795,0.13
Japan,2000,29989,119752660,40834,25.04
Kazakhstan,2000,4428,13772422,1328,32.15
Kiribati,2000,0,72440,928,0
Kuwait,2000,34,1973153,19112,1.72
Kyrgyzstan,2000,510,4369202,313,11.67
Latvia,2000,770,2272107,3494,33.89
Lithuania,2000,1631,3315125,3481,49.2
Luxembourg,2000,62,410164,51841,15.12
Maldives,2000,0,247387,2524,0
Malta,2000,23,362676,11873,6.34
Mauritius,2000,137,1056073,4339,12.97
Mexico,2000,3456,89694793,7893,3.85
Montenegro,2000,0,578668,1701,0
Netherlands,2000,1501,14933235,27656,10.05
New Zealand,2000,458,3573690,14725,12.82
Norway,2000,541,4168315,41024,12.98
Panama,2000,143,2688510,4577,5.32
Paraguay,2000,154,4598158,1782,3.35
Philippines,2000,1403,67243482,1205,2.09
Poland,2000,5841,36233344,4747,16.12
Portugal,2000,524,9740085,12115,5.38
Puerto Rico,2000,305,3511947,17569,8.68
Republic of Korea,2000,6444,44271743,12694,14.56
Romania,2000,2836,21290400,1758,13.32
Russian Federation,2000,56619,138205695,1881,40.97
Saint Lucia,2000,14,141100,5557,9.92
Saint Vincent and Grenadines,2000,5,96956,4087,5.16
San Marino,2000,1,25369,43435,3.94
Serbia,2000,1543,7149140,915,21.58
Singapore,2000,309,3047600,31446,10.14
Slovakia,2000,729,5111813,5696,14.26
Slovenia,2000,588,1886483,10783,31.17
South Africa,2000,267,40568559,3352,0.66
Spain,2000,3394,38319996,15527,8.86
Sri Lanka,2000,5252,17140342,953,30.64
Suriname,2000,52,419001,2129,12.41
Sweden,2000,1131,8409008,30919,13.45
Switzerland,2000,1380,6809589,39944,20.27
Thailand,2000,5182,58262135,2163,8.89
Trinidad and Tobago,2000,166,1178363,6920,14.09
Turkmenistan,2000,383,4026478,721,9.51
Ukraine,2000,14467,47125400,663,30.7
United Kingdom,2000,4290,56133909,29394,7.64
United States,2000,29343,262246108,39276,11.19
Uruguay,2000,555,3050169,7483,18.2
Uzbekistan,2000,1919,21789067,632,8.81
Luxembourg,2005,49,437338,85397,11.2
Norway,2005,533,4335092,71279,12.3
San Marino,2005,1,28264,69301,3.54
Iceland,2005,33,274929,60712,12
Switzerland,2005,1299,7071991,57834,18.37
Qatar,2005,17,796618,55899,2.13
Ireland,2005,451,3833357,55304,11.77
Denmark,2005,631,5089852,51868,12.4
United States,2005,32629,276106680,47445,11.82
Sweden,2005,1219,8538624,45558,14.28
United Kingdom,2005,4047,56809024,44359,7.12
Netherlands,2005,1574,15320595,44319,10.27
United Arab Emirates,2005,96,4280433,42285,2.24
Finland,2005,994,4961784,41114,20.03
Austria,2005,1399,7827461,40371,17.87
Japan,2005,30369,120657507,39451,25.17
Kuwait,2005,52,2062968,39166,2.52
Belgium,2005,2029,9901014,39087,20.49
France,2005,10713,57160687,38488,18.74
Canada,2005,3743,30597090,38239,12.23
Singapore,2005,359,3342400,37997,10.74
Germany,2005,10270,78851254,36271,13.02
Italy,2005,3742,55244690,33487,6.77
Bahamas,2005,4,301763,32596,1.33
New Zealand,2005,514,3849280,29876,13.35
Spain,2005,3399,41195479,28158,8.25
Cyprus,2005,17,701263,26671,2.42
Aruba,2005,10,93728,24870,10.67
Puerto Rico,2005,289,3504599,23944,8.25
Greece,2005,400,10582816,23434,3.78
Israel,2005,425,6220861,22826,6.83
Bahrain,2005,42,819540,19485,5.12
Republic of Korea,2005,12011,46151884,19457,26.02
Slovenia,2005,503,1911817,19012,26.31
Malta,2005,19,384111,16648,4.95
Barbados,2005,1,255889,15230,0.39
Czech Republic,2005,1565,9761733,13932,16.03
Trinidad and Tobago,2005,136,1205471,13258,11.28
Antigua and Barbuda,2005,0,80809,12649,0
Slovakia,2005,679,5126946,12229,13.24
Hungary,2005,2619,9608943,11760,27.26
Seychelles,2005,5,80900,11361,6.18
Estonia,2005,273,1288495,10870,21.19
Croatia,2005,874,4235875,10722,20.63
Mexico,2005,4274,96730008,9066,4.42
Poland,2005,6045,36371365,8413,16.62
Chile,2005,1682,14893574,8259,11.29
Lithuania,2005,1319,3174728,8229,41.55
Latvia,2005,564,2137831,7916,26.38
Grenada,2005,6,93685,7422,6.4
Saint Lucia,2005,4,151169,6292,2.65
South Africa,2005,458,43566107,5922,1.05
Uruguay,2005,498,3070178,5655,16.22
Mauritius,2005,102,1113942,5641,9.16
Russian Federation,2005,45802,136162191,5611,33.64
Argentina,2005,3058,35550617,5598,8.6
Saint Vincent and Grenadines,2005,8,99118,5556,8.07
Panama,2005,172,2977595,5499,5.78
Brazil,2005,8529,170483960,5232,5
Costa Rica,2005,272,3887096,5133,7
Romania,2005,2603,20569960,4847,12.65
Belize,2005,12,245020,4547,4.9
Jamaica,2005,51,2487169,4505,2.05
Fiji,2005,22,732607,4104,3
Kazakhstan,2005,3903,13947770,4096,27.98
Maldives,2005,1,288936,4026,0.35
Cuba,2005,1397,10616406,4017,13.16
Suriname,2005,72,447445,4009,16.09
Bulgaria,2005,982,7404051,4003,13.26
Montenegro,2005,118,583232,3870,20.23
Colombia,2005,2102,39172790,3753,5.37
Serbia,2005,1437,7058982,3719,20.36
Ecuador,2005,943,12217643,3397,7.72
Thailand,2005,3937,61182665,3089,6.43
Albania,2005,0,2783320,2931,0
El Salvador,2005,455,5378879,2733,8.46
Guatemala,2005,238,11104906,2450,2.14
Ukraine,2005,10621,44939270,1917,23.63
Turkmenistan,2005,468,4252530,1906,11.01
Paraguay,2005,239,5126457,1704,4.66
Georgia,2005,87,4132000,1552,2.11
Guyana,2005,169,667709,1235,25.31
Uzbekistan,2005,1221,23600347,606,5.17
Kyrgyzstan,2005,470,4614533,533,10.19
Albania,2010,96,2736025,4359,3.51
Argentina,2010,2943,37578454,11283,7.83
Armenia,2010,73,2676225,3460,2.73
Aruba,2010,7,95006,25974,7.37
Australia,2010,2420,20847547,54683,11.61
Austria,2010,1264,7968421,49194,15.86
Bahamas,2010,10,333869,30239,3
Bahrain,2010,19,1139160,22572,1.67
Barbados,2010,3,261927,17034,1.15
Belarus,2010,2459,8981193,6371,27.38
Belgium,2010,2013,10211171,47399,19.71
Belize,2010,15,283796,4923,5.29
Brazil,2010,9429,181629712,12168,5.19
Bulgaria,2010,859,7162740,7066,11.99
Canada,2010,3951,32286140,49867,12.24
Chile,2010,2001,15751851,13903,12.7
Colombia,2010,2107,41989103,6835,5.02
Costa Rica,2010,311,4184663,8906,7.43
Croatia,2010,776,4203963,14232,18.46
Cuba,2010,1558,10725848,5997,14.53
Cyprus,2010,38,787081,32477,4.83
Czech Republic,2010,1502,9945273,20814,15.1
Denmark,2010,563,5217785,61712,10.79
Ecuador,2010,912,13360285,5206,6.83
El Salvador,2010,399,5560453,3318,7.18
Estonia,2010,223,1254225,15540,17.78
Finland,2010,954,5063494,48978,18.84
France,2010,10379,59056283,44703,17.57
Georgia,2010,112,4193800,2775,2.67
Germany,2010,10030,78349067,43651,12.8
Greece,2010,377,10735384,27852,3.51
Grenada,2010,0,94980,8118,0
Guatemala,2010,352,12682151,3260,2.78
Guyana,2010,205,671825,3384,30.51
Hungary,2010,2489,9514005,13769,26.16
Iceland,2010,46,294620,45179,15.61
Ireland,2010,486,4264857,52053,11.4
Israel,2010,480,6849825,34161,7.01
Italy,2010,3989,57637843,36955,6.92
Jamaica,2010,3,2586652,5100,0.12
Japan,2010,29411,121127267,47058,24.28
Kazakhstan,2010,3609,14713167,10059,24.53
Kuwait,2010,39,3281614,35044,1.19
Kyrgyzstan,2010,500,4837556,991,10.34
Latvia,2010,438,1987906,11951,22.03
Lithuania,2010,1018,2949737,12584,34.51
Luxembourg,2010,54,477979,111328,11.3
Maldives,2010,1,331559,7806,0.3
Malta,2010,31,394949,22132,7.85
Mauritius,2010,98,1164931,8587,8.41
Mexico,2010,4858,105875861,10012,4.59
Netherlands,2010,1604,15691409,53278,10.22
New Zealand,2010,536,4055470,36247,13.22
Nicaragua,2010,351,5107427,1715,6.87
Norway,2010,548,4582885,93609,11.96
Oman,2010,13,2748440,21337,0.47
Panama,2010,151,3274415,8991,4.61
Paraguay,2010,223,5534703,3619,4.03
Philippines,2010,2116,82760992,2417,2.56
Poland,2010,6357,36027791,13295,17.64
Portugal,2010,1099,10066628,23642,10.92
Puerto Rico,2010,286,3480379,28267,8.22
Qatar,2010,47,1689592,73982,2.78
Republic of Korea,2010,15558,47598615,22900,32.69
Romania,2010,2766,20348649,8207,13.59
Russian Federation,2010,33356,134865987,11270,24.73
Saint Lucia,2010,4,161503,8557,2.48
Saint Vincent and Grenadines,2010,5,100050,6809,5
Serbia,2010,1207,6944871,5682,17.38
Seychelles,2010,6,83885,11563,7.15
Singapore,2010,296,3576800,65981,8.28
Slovakia,2010,631,5147562,17387,12.26
Slovenia,2010,414,1944774,24689,21.29
South Africa,2010,393,46176200,8121,0.85
Spain,2010,3158,43595356,32802,7.24
Suriname,2010,136,476052,9176,28.57
Sweden,2010,1141,8823125,55309,12.93
Switzerland,2010,1006,7439147,78504,13.52
Thailand,2010,3761,59769764,5705,6.29
Trinidad and Tobago,2010,160,1231002,18000,13
Turkey,2010,1524,66975131,11527,2.28
Turkmenistan,2010,178,4551185,4962,3.91
Ukraine,2010,9089,43296809,3141,20.99
United Arab Emirates,2010,111,7839736,36991,1.42
United Kingdom,2010,4188,58403529,41778,7.17
United States,2010,38362,287839149,52112,13.33
Uruguay,2010,547,3127306,12882,17.49
Uzbekistan,2010,1464,25651783,1533,5.71
Antigua and Barbuda,2015,1,91889,14853,1.09
Argentina,2015,3073,39699624,14988,7.74
Armenia,2015,74,2795335,3775,2.65
Australia,2015,3027,22240785,60699,13.61
Austria,2015,1251,8219386,46475,15.22
Belgium,2015,1867,10624356,42826,17.57
Belize,2015,26,319835,5561,8.13
Brazil,2015,11163,191087085,9420,5.84
Chile,2015,1838,16565725,14729,11.1
Colombia,2015,2332,44490427,6563,5.24
Croatia,2015,739,4001669,12351,18.47
Cuba,2015,1511,10832068,8044,13.95
Cyprus,2015,40,796037,24718,5.02
Czech Republic,2015,1387,9989325,18720,13.88
Denmark,2015,564,5383060,55916,10.48
Ecuador,2015,1073,14534024,6832,7.38
Estonia,2015,195,1243450,18149,15.68
Finland,2015,731,5181797,44772,14.11
Georgia,2015,192,3458400,4046,5.55
Germany,2015,10088,78136683,43258,12.91
Greece,2015,529,10331286,18972,5.12
Grenada,2015,0,96892,10290,0
Guatemala,2015,494,14258397,4472,3.46
Hungary,2015,1868,9389519,13100,19.89
Iceland,2015,40,308554,54909,12.96
Israel,2015,342,7516180,39781,4.55
Italy,2015,3988,58117697,31488,6.86
Japan,2015,23092,120376310,36469,19.18
Kazakhstan,2015,2872,15646752,11760,18.36
Kyrgyzstan,2015,417,5195827,1285,8.03
Latvia,2015,387,1875522,14382,20.63
Lithuania,2015,896,2753926,15073,32.54
Luxembourg,2015,64,537748,107456,11.9
Malta,2015,34,410637,25750,8.28
Mauritius,2015,104,1154848,10125,9.01
Mexico,2015,6234,114357884,10231,5.45
Netherlands,2015,1873,16057342,47206,11.66
Nicaragua,2015,315,5476483,2303,5.75
Norway,2015,590,4882909,79256,12.08
Panama,2015,110,3583382,15158,3.07
Poland,2015,5420,36086575,13218,15.02
Puerto Rico,2015,226,3469521,29687,6.51
Qatar,2015,66,2354147,70089,2.8
Republic of Korea,2015,13510,48671752,28353,27.76
Romania,2015,2228,18863927,9436,11.81
Russian Federation,2015,25432,137018943,9999,18.56
Saint Vincent and Grenadines,2015,3,100948,7496,2.97
Serbia,2015,1062,6766406,5492,15.7
Seychelles,2015,7,85949,16005,8.14
Singapore,2015,329,3719115,81740,8.85
Slovenia,2015,422,1954632,22036,21.59
South Africa,2015,482,49627460,6408,0.97
Spain,2015,3604,44186528,27158,8.16
Sweden,2015,1182,9114524,54638,12.97
Switzerland,2015,1073,7892502,86031,13.6
Thailand,2015,4205,61261276,6546,6.86
Turkey,2015,1532,71880464,11964,2.13
Turkmenistan,2015,133,4886514,7326,2.72
Ukraine,2015,7574,40345446,2256,18.77
United Kingdom,2015,4910,61082942,47313,8.04
United States,2015,44189,300078511,60318,14.73
Uruguay,2015,630,3190795,16696,19.74
